Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Interferon alfa-2b	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Kaposi sarcoma	IL6	3569
Interferon alfa-2b	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Interferon alfa-2b	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Malignant melanoma		
Interferon alfa-2b	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Melanoma	CDK4;CDKN2A;XRCC3;STK11;BRAF	1019;1029;7517;6794;673
Interferon alfacon-1	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	AIDS	KIR3DL1;IFNG;CXCL12	3811;3458;6387
Interferon alfacon-1	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Kaposi sarcoma	IL6	3569
Interferon alfacon-1	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Interferon alfacon-1	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Malignant melanoma		
Interferon alfacon-1	For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma	Melanoma	CDK4;CDKN2A;XRCC3;STK11;BRAF	1019;1029;7517;6794;673
Interferon alfa-n1	For treatment of venereal or genital warts caused by the Human Papiloma Virus	Arts syndrome		
Interferon alfa-n3	For the treatment of hairy cell leukemia, malignant melanoma, AIDS-related Kaposi's sarcoma, refractory or recurring external condylomata acuminata in patients 18 years of age or older, laryngeal papillomatosis in children and some types of hepatitis	AIDS	KIR3DL1;IFNG;CXCL12	3811;3458;6387
Interferon alfa-n3	For the treatment of hairy cell leukemia, malignant melanoma, AIDS-related Kaposi's sarcoma, refractory or recurring external condylomata acuminata in patients 18 years of age or older, laryngeal papillomatosis in children and some types of hepatitis	Hairy ears		
Interferon alfa-n3	For the treatment of hairy cell leukemia, malignant melanoma, AIDS-related Kaposi's sarcoma, refractory or recurring external condylomata acuminata in patients 18 years of age or older, laryngeal papillomatosis in children and some types of hepatitis	Kaposi sarcoma	IL6	3569
Interferon alfa-n3	For the treatment of hairy cell leukemia, malignant melanoma, AIDS-related Kaposi's sarcoma, refractory or recurring external condylomata acuminata in patients 18 years of age or older, laryngeal papillomatosis in children and some types of hepatitis	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Interferon alfa-n3	For the treatment of hairy cell leukemia, malignant melanoma, AIDS-related Kaposi's sarcoma, refractory or recurring external condylomata acuminata in patients 18 years of age or older, laryngeal papillomatosis in children and some types of hepatitis	Malignant melanoma		
Interferon alfa-n3	For the treatment of hairy cell leukemia, malignant melanoma, AIDS-related Kaposi's sarcoma, refractory or recurring external condylomata acuminata in patients 18 years of age or older, laryngeal papillomatosis in children and some types of hepatitis	Melanoma	CDK4;CDKN2A;XRCC3;STK11;BRAF	1019;1029;7517;6794;673
Interferon beta-1a	For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum	Multiple sclerosis	CIITA;PTPRC	4261;5788
Interferon beta-1b	For treatment of relapsing/remitting multiple sclerosis	Multiple sclerosis	CIITA;PTPRC	4261;5788
Interferon gamma-1b	For treatment of Chronic granulomatous disease, Osteopetrosis	Chronic granulomatous disease	CYBA;NCF1;NCF2;CYBB	1535;4687;4688;1536
Interferon gamma-1b	For treatment of Chronic granulomatous disease, Osteopetrosis	Osteopetrosis	LRP5;CLCN7;OSTM1;TCIRG1	4041;1186;28962;10312
Inulin	Historically used in an important medical test of renal function, specifically a measure of glomerular filtration rate. Sometimes used to help relieve symptoms of diabetes mellitus - a condition characterised by hyperglycemia and/or hyperinsulinemia.	Diabetes mellitus	ABCC8;TCF1;SUMO4;PTPN22;INSR;PPARG;GCK;GCGR;GPD2;HNF4A;IRS2;MAPK8IP1;NEUROD1;TCF2;IRS1;SLC2A2;SLC2A4;CAPN10;ENPP1;RETN;PTF1A;KCNJ11;AKT2;IPF1;FOXP3;ACE;VEGF	6833;6927;387082;26191;3643;5468;2645;2642;2820;3172;8660;9479;4760;6928;3667;6514;6517;11132;5167;56729;256297;3767;208;3651;50943;1636;7422
Ipratropium	For maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema.	Emphysema	SERPINA1	5265
Ipratropium	For maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema.	Pulmonary disease		
Irbesartan	For the treatment of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Iron Dextran	For treatment of patients with documented iron deficiency in whom oral administration is unsatisfactory or impossible. Also used to replenish body iron stores in Non-Dialysis Dependent-Chronic Kidney Disease (NDD-CKD) patients receiving or not receiving erythropoietin and in Hemodialysis Dependent (HDD-CKD) and Peritoneal Dialysis Dependent (PDD-CKD) - Chronic Kidney Disease patients receiving an erythropoietin.	Iron overload/deficiency	TF;FTH1	7018;2495
Isocarboxazid	Isocarboxazid is used to treat depression, especially when the patient is excitable or suffering from phobias (fears).	Phobia		
Isoetharine	For the treatment of asthma, wheezing, and chronic asthmatic bronchitis.	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Isoflurophate	For use in the eye to treat certain types of glaucoma and other eye conditions, such as accommodative esotropia.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Isoniazid	For the treatment of all forms of tuberculosis in which organisms are susceptible.	Tuberculosis	IFNGR1;IFNG	3459;3458
Isoproterenol	For the treatment of mild or transient episodes of heart block that do not require electric shock or pacemaker therapy also used in management of asthma and chronic bronchitis	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Isoproterenol	For the treatment of mild or transient episodes of heart block that do not require electric shock or pacemaker therapy also used in management of asthma and chronic bronchitis	Heart block	SCN5A	6331
Isosorbide Dinitrate	For the prevention of angina pectoris due to coronary artery disease.	Coronary artery disease	MEF2A;ABCA1;KL;PON1;PON2;MMP3	4205;19;9365;5444;5445;4314
Isosorbide Mononitrate	For the prevention of angina pectoris due to coronary artery disease and the treatment of acute and chronic angina pectoris, hypertension, and myocardial infarction.	Coronary artery disease	MEF2A;ABCA1;KL;PON1;PON2;MMP3	4205;19;9365;5444;5445;4314
Isosorbide Mononitrate	For the prevention of angina pectoris due to coronary artery disease and the treatment of acute and chronic angina pectoris, hypertension, and myocardial infarction.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Isosorbide Mononitrate	For the prevention of angina pectoris due to coronary artery disease and the treatment of acute and chronic angina pectoris, hypertension, and myocardial infarction.	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
Isradipine	For the management of hypertension. It may be used alone or concurrently with thiazide-type diuretics.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Itraconazole	For the treatment of the following fungal infections in immunocompromised and non-immunocompromised patients: pulmonary and extrapulmonary blastomycosis, histoplasmosis, aspergillosis, and onychomycosis.	Pulmonary disease		
Kanamycin	For treatment of infections where one or more of the following are the known or suspected pathogens: E. coli, Proteus species (both indole-positive and indole-negative), E. aerogenes, K. pneumoniae, S. marcescens, and Acinetobacter species.	Proteus syndrome		
Ketoconazole	For the treatment of the following systemic fungal infections: candidiasis, chronic mucocutaneous candidiasis, oral thrush, candiduria, blastomycosis, coccidioidomycosis, histoplasmosis, chromomycosis, and paracoccidioidomycosis.	Candidiasis		
Ketoconazole	For the treatment of the following systemic fungal infections: candidiasis, chronic mucocutaneous candidiasis, oral thrush, candiduria, blastomycosis, coccidioidomycosis, histoplasmosis, chromomycosis, and paracoccidioidomycosis.	Chronic infections, due to opsonin defect	MBL2	4153
Ketoprofen	For the treatment of pain (muscular and rheumatic), sprains, strains, backache and neuralgia and for the management of the signs and symptoms of rheumatoid arthritis and osteoarthritis.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
Ketoprofen	For the treatment of pain (muscular and rheumatic), sprains, strains, backache and neuralgia and for the management of the signs and symptoms of rheumatoid arthritis and osteoarthritis.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Ketotifen Fumarate	Indicated as an add-on or prophylactic oral medication in the chronic treatment of mild atopic asthmatic children. Also for the temporary prevention of itching of the eye due to allergic conjunctivitis (ophthalmic).	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Ketotifen Fumarate	Indicated as an add-on or prophylactic oral medication in the chronic treatment of mild atopic asthmatic children. Also for the temporary prevention of itching of the eye due to allergic conjunctivitis (ophthalmic).	Cat eye syndrome		
Ketotifen Fumarate	Indicated as an add-on or prophylactic oral medication in the chronic treatment of mild atopic asthmatic children. Also for the temporary prevention of itching of the eye due to allergic conjunctivitis (ophthalmic).	Conjunctivitis, ligneous	PLG	5340
Labetalol	For the management of hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Lactulose	For the treatment of constipation and hepatic encephalopathy.	Encephalopathy	SERPINI1;COX10	5274;1352
L-Alanine	Used for protein synthesis.	Protein S deficiency	PROS1	5627
Lamivudine	For the treatment of HIV infection and chronic hepatitis B (HBV).	HIV	CCL5;IL10;CCR2;CCR5	6352;3586;1231;1234
Lamotrigine	For the adjunctive treatment of partial seizures in epilepsy and generalized seizures of Lennox-Gastaut syndrome;For the maintenance treatment of Bipolar I Disorder	Bipolar disorder	XBP1	7494
Lamotrigine	For the adjunctive treatment of partial seizures in epilepsy and generalized seizures of Lennox-Gastaut syndrome;For the maintenance treatment of Bipolar I Disorder	Epilepsy	KCNQ2;KCNQ3;GABRG2;CLCN2;JRK;CACNB4;SCN1A;ME2;GABRA1;EPM2A;NHLRC1;SLC25A22;CHRNA4;CHRNB2;LGI1;CSTB;SYN1	3785;3786;2566;1181;8629;785;6323;4200;2554;7957;378884;79751;1137;1141;9211;1476;6853
Lamotrigine	For the adjunctive treatment of partial seizures in epilepsy and generalized seizures of Lennox-Gastaut syndrome;For the maintenance treatment of Bipolar I Disorder	Generalized epilepsy	KCNMA1;SCN1B	3778;6324
Lamotrigine	For the adjunctive treatment of partial seizures in epilepsy and generalized seizures of Lennox-Gastaut syndrome;For the maintenance treatment of Bipolar I Disorder	Seizures	SCN2A1	6325
Laronidase	For the treatment of mucopolysaccharidosis	Mucopolysaccharidosis	IDUA;IDS;GALNS;GLB1;GNS;HYAL1;GUSB	3425;3423;2588;2720;2799;3373;2990
L-Aspartic Acid	There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.	AIDS	KIR3DL1;IFNG;CXCL12	3811;3458;6387
Latanoprost	For the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Latanoprost	For the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
L-Cystine	It has been claimed that L-cysteine has anti-inflammatory properties, that it can protect against various toxins, and that it might be helpful in osteoarthritis and rheumatoid arthritis. More research will have to be done before L-cysteine can be indicated for any of these conditions. Research to date has mostly been in animal models.	Osteoarthritis	MATN3;FRZB;ASPN;COL2A1	4148;2487;54829;1280
L-Cystine	It has been claimed that L-cysteine has anti-inflammatory properties, that it can protect against various toxins, and that it might be helpful in osteoarthritis and rheumatoid arthritis. More research will have to be done before L-cysteine can be indicated for any of these conditions. Research to date has mostly been in animal models.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Leflunomide	For the treatment of active rheumatoid arthritis (RA).	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Lepirudin	For the treatment of heparin-induced thrombocytopenia	Thrombocytopenia	MASTL;MPL;WAS;F5	84930;4352;7454;2153
Lercanidipine	For the treatment of Hypertension and management of angina pectoris and Raynaud's syndrome	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Letrozole	For the extended adjuvant treatment of early breast cancer in postmenopausal women who have received 5 years of adjuvant tamoxifen therapy. Also for first-line treatment of postmenopausal women with hormone receptor positive or hormone receptor unknown locally advanced or metastatic breast cancer. Also indicated for the treatment of advanced breast cancer in postmenopausal women with disease progression following antiestrogen therapy.	Breast cancer	CHEK2;PIK3CA;PPM1D;SLC22A18;TP53;BRCA1;BRCA2;TSG101;BRIP1;RAD54L;CDH1;AR;KRAS;RB1CC1;PHB;ATM;BARD1;RAD51;XRCC3	11200;5290;8493;5002;7157;672;675;7251;83990;8438;999;367;3845;9821;5245;472;580;5888;7517
Leucovorin	For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer.	Anemia	CDAN1;RPS19;PKLR;NT5C3;RHAG;SLC11A2;SPTB;ALAS2;ABCB7	146059;6223;5313;51251;6005;4891;6710;212;22
Leucovorin	For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer.	Fluorouracil toxicity, sensitivity to	DPYD	1806
Leucovorin	For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer.	Megaloblastic anemia	CUBN;AMN	8029;81693
Leucovorin	For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer.	Osteosarcoma	TP53;CHEK2	7157;11200
Leuprolide	For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty	Endometriosis		
Leuprolide	For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty	Prostate cancer	RNASEL;BRCA2;PTEN;AR;CHEK2;MSR1;EPHB2;KLF6;MAD1L1;ATBF1;ELAC2;MXI1	6041;675;5728;367;11200;4481;2048;1316;8379;463;60528;4601
Levamisole	For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.	Colon cancer	RAD54B;RAD54L;BCL10;PTPN12;TGFBR2;SRC;MLH3;PTPRJ;ODC1;MUTYH;AXIN2;BUB1B;EP300;PDGFRL;PIK3CA;TP53;APC;BAX;CTNNB1;DCC;MCC;NRAS;MSH2;MLH1;PMS1;PMS2;MSH6;FGFR3;FLCN;BRAF;DLC1;PLA2G2A;CCND1;BUB1	25788;8438;8915;5782;7048;6714;27030;5795;4953;4595;8313;701;2033;5157;5290;7157;324;581;1499;1630;4163;4893;4436;4292;5378;5395;2956;2261;201163;673;10395;5320;595;699
Levamisole	For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.	Malignant melanoma		
Levamisole	For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.	Melanoma	CDK4;CDKN2A;XRCC3;STK11;BRAF	1019;1029;7517;6794;673
Levetiracetam	Used as adjunctive therapy in the treatment of partial onset seizures in adults and children 4 years of age and older with epilepsy.	Epilepsy	KCNQ2;KCNQ3;GABRG2;CLCN2;JRK;CACNB4;SCN1A;ME2;GABRA1;EPM2A;NHLRC1;SLC25A22;CHRNA4;CHRNB2;LGI1;CSTB;SYN1	3785;3786;2566;1181;8629;785;6323;4200;2554;7957;378884;79751;1137;1141;9211;1476;6853
Levetiracetam	Used as adjunctive therapy in the treatment of partial onset seizures in adults and children 4 years of age and older with epilepsy.	Seizures	SCN2A1	6325
Levobunolol	For lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or ocular hypertension	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Levobunolol	For lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or ocular hypertension	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Levocabastine	As an ophthalmic for the temporary relief of the signs and symptoms of seasonal allergic conjunctivitis. Also used as a nasal spray for allergic rhinitis.	Conjunctivitis, ligneous	PLG	5340
Levocabastine	As an ophthalmic for the temporary relief of the signs and symptoms of seasonal allergic conjunctivitis. Also used as a nasal spray for allergic rhinitis.	Allergic rhinitis	IL13	3596
Levocarnitine	For treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria II, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylCoA dehydrogenase deficiency. Used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease.	Acyl-CoA dehydrogenase, deficiency of	ACADL;ACADM;ACADS	33;34;35
Levocarnitine	For treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria II, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylCoA dehydrogenase deficiency. Used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease.	Carnitine deficiency	SLC22A5	6584
Levocarnitine	For treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria II, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylCoA dehydrogenase deficiency. Used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease.	Hyperlipoproteinemia	APOC2;APOE	344;348
Levocarnitine	For treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria II, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylCoA dehydrogenase deficiency. Used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease.	Protein S deficiency	PROS1	5627
Levodopa	For the treatment of idiopathic Parkinson's disease (Paralysis Agitans), postencephalitic parkinsonism, symptomatic parkinsonism which may follow injury to the nervous system by carbon monoxide intoxication, and manganese intoxication.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Levofloxacin	For the treatment of Bacterial infection of; Respiratory tract, Urinary tract, GI, CNS and Immuno compromised patients caused by: S.pneumoniae, H.influenzae, M.catarrhalis, S.aureus, H.parainfluenzae, P.aeruginosa, S.marcescens, E.coli, K.pneumoniae, C.pn	Urinary tract infection		
Levothyroxine	For use alone or in combination with antithyroid agents to treat hypothyroidism, goiter, chronic lymphocytic thyroiditis, myxedema coma, and stupor.	Goiter	TPO;TG	7173;7038
Levothyroxine	For use alone or in combination with antithyroid agents to treat hypothyroidism, goiter, chronic lymphocytic thyroiditis, myxedema coma, and stupor.	Hypothyroidism	CTLA4;SLC5A5;DUOX2;PAX8;TSHR;TG;TSHB	1493;6528;50506;7849;7253;7038;7252
L-Glutamic Acid	In addition to being one of the building blocks in protein synthesis, it is the most widespread neurotransmitter in brain function, as an excitatory neurotransmitter and as a precursor for the synthesis of GABA in GABAergic neurons.	Protein S deficiency	PROS1	5627
L-Histidine	The actions of supplemental L-histidine are entirely unclear. It may have some immunomodulatory as well as antioxidant activity. L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol.	Anemia	CDAN1;RPS19;PKLR;NT5C3;RHAG;SLC11A2;SPTB;ALAS2;ABCB7	146059;6223;5313;51251;6005;4891;6710;212;22
L-Histidine	The actions of supplemental L-histidine are entirely unclear. It may have some immunomodulatory as well as antioxidant activity. L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol.	Rheumatoid arthritis	IL10;CIITA;NFKBIL1;PADI4;PTPN22;RUNX1;SLC22A4;MIF	3586;4261;4795;23569;26191;861;6583;4282
Liothyronine	Used as replacement or supplemental therapy in patients with hypothyroidism of any etiology, except transient hypothyrodism during the recovery phase of subacute thyroiditis.	Hypothyroidism	CTLA4;SLC5A5;DUOX2;PAX8;TSHR;TG;TSHB	1493;6528;50506;7849;7253;7038;7252
Lisinopril	For the treatment of hypertension, heart failure and acute myocardial infarction. It may be used alone or in combination with thiazide diuretics	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Lisinopril	For the treatment of hypertension, heart failure and acute myocardial infarction. It may be used alone or in combination with thiazide diuretics	Myocardial infarction	F7;APOE;ACE;ALOX5AP;LGALS2;LTA;OLR1;THBD;GCLM;TNFSF4	2155;348;1636;241;3957;4049;4973;7056;2730;7292
L-Isoleucine	The branched-chain amino acids may have antihepatic encephalopathy activity in some. They may also have anticatabolic and antitardive dyskinesia activity.	Encephalopathy	SERPINI1;COX10	5274;1352
Lisuride	For the management of Parkinson's Disease	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
L-Leucine	Indicated to assist in the prevention of the breakdown of muscle proteins that sometimes occur after trauma or severe stress.	Down syndrome	MTR	4548
L-Leucine	Indicated to assist in the prevention of the breakdown of muscle proteins that sometimes occur after trauma or severe stress.	Protein S deficiency	PROS1	5627
L-Methionine	Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate.	Protein S deficiency	PROS1	5627
Lomefloxacin	For the treatment of bacterial infections of the respiratory tract (chronic bronchitis)and urinary tract, and as a pre-operative prophylactic to prevent urinary tract infection caused by: S.pneumoniae, H.influenzae, S.aureus, P.aeruginosa, E. cloacae, P. mirabilis, C. civersus, S. asprphyticus, E.coli, and K.pneumoniae.	Chronic infections, due to opsonin defect	MBL2	4153
Lomefloxacin	For the treatment of bacterial infections of the respiratory tract (chronic bronchitis)and urinary tract, and as a pre-operative prophylactic to prevent urinary tract infection caused by: S.pneumoniae, H.influenzae, S.aureus, P.aeruginosa, E. cloacae, P. mirabilis, C. civersus, S. asprphyticus, E.coli, and K.pneumoniae.	Urinary tract infection		
Lomustine	Indicated primarily for the treatment of brain tumours. Also for the treatment of breast cancer, Hodgkin's disease, lung cancer, malignant melanoma, multiple myeloma, Non-Hodgkin's lymphomas, ovarian cancer, pancreatic cancer, and renal cell cancer.	B-cell non-Hodgkin lymphoma, high-grade	BCL7A	605
